Date,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM
2023-02-22,148.91000366210938,95.79000091552734,34.290000915527344,160.35000610351562,157.77999877929688,138.55999755859375,251.50999450683594,73.68000030517578,44.22999954223633,140.5,15.470000267028809,398.5400085449219,165.72000122070312,200.86000061035156,48.08000183105469,109.7300033569336
2023-02-23,149.39999389648438,95.81999969482422,34.2599983215332,161.92999267578125,157.72999572753906,139.6699981689453,254.77000427246094,72.87000274658203,44.2599983215332,140.0500030517578,15.399999618530273,400.6600036621094,165.5,202.07000732421875,47.36333465576172,110.73999786376953
2023-02-24,146.7100067138672,93.5,34.209999084472656,162.41000366210938,155.97000122070312,140.92999267578125,249.22000122070312,72.91999816894531,43.540000915527344,139.25999450683594,15.569999694824219,396.3800048828125,166.9600067138672,196.8800048828125,47.4900016784668,110.75
2023-02-27,147.9199981689453,93.76000213623047,34.209999084472656,162.82000732421875,155.6300048828125,142.16000366210938,250.16000366210938,71.86000061035156,43.34000015258789,139.13999938964844,15.539999961853027,397.7300109863281,166.80999755859375,207.6300048828125,47.14666748046875,110.55000305175781
2023-02-28,147.41000366210938,94.2300033569336,34.29999923706055,160.77000427246094,153.25999450683594,143.35000610351562,249.4199981689453,71.02999877929688,43.61000061035156,137.55999755859375,15.59000015258789,396.260009765625,168.5,205.7100067138672,47.37666702270508,109.91000366210938
2023-03-01,145.30999755859375,92.16999816894531,34.13999938964844,162.0500030517578,152.57000732421875,142.5500030517578,246.27000427246094,69.87000274658203,44.099998474121094,137.66000366210938,15.649999618530273,394.739990234375,162.39999389648438,202.77000427246094,46.71666717529297,110.88999938964844
2023-03-02,145.91000366210938,92.12999725341797,33.4900016784668,162.55999755859375,152.4499969482422,141.07000732421875,251.11000061035156,72.20999908447266,43.939998626708984,139.92999267578125,15.550000190734863,397.80999755859375,165.94000244140625,190.89999389648438,46.83333206176758,111.4000015258789
2023-03-03,151.02999877929688,94.9000015258789,34.15999984741211,164.9600067138672,154.02000427246094,143.66000366210938,255.2899932861328,73.83000183105469,44.70000076293945,140.9499969482422,15.300000190734863,404.19000244140625,166.0,197.7899932861328,46.88999938964844,112.80999755859375
2023-03-06,153.8300018310547,93.75,34.09000015258789,166.1699981689453,155.55999755859375,142.82000732421875,256.8699951171875,74.4000015258789,44.220001220703125,140.35000610351562,15.279999732971191,404.4700012207031,165.1999969482422,193.80999755859375,46.883331298828125,113.80999755859375
2023-03-07,151.60000610351562,93.55000305175781,33.0,164.02999877929688,154.08999633789062,138.6199951171875,254.14999389648438,73.75,42.5,137.55999755859375,15.520000457763672,398.2699890136719,162.82000732421875,187.7100067138672,46.41666793823242,111.61000061035156
2023-03-08,152.8699951171875,93.91999816894531,32.560001373291016,162.99000549316406,152.9600067138672,137.8000030517578,253.6999969482422,74.25,42.15999984741211,137.5800018310547,15.5,398.9200134277344,163.50999450683594,182.0,46.03333282470703,109.9800033569336
2023-03-09,150.58999633789062,92.25,30.540000915527344,160.50999450683594,151.24000549316406,130.33999633789062,252.32000732421875,73.76000213623047,41.7400016784668,136.57000732421875,15.800000190734863,391.55999755859375,160.63999938964844,172.9199981689453,45.723331451416016,109.12999725341797
2023-03-10,148.5,90.7300033569336,30.270000457763672,159.6699981689453,151.61000061035156,133.64999389648438,248.58999633789062,73.01000213623047,42.15999984741211,137.19000244140625,16.030000686645508,385.9100036621094,158.17999267578125,173.44000244140625,45.65666580200195,107.77999877929688
2023-03-13,150.47000122070312,92.43000030517578,28.510000228881836,158.7100067138672,153.05999755859375,131.25,253.9199981689453,73.29000091552734,45.119998931884766,138.13999938964844,16.079999923706055,385.3599853515625,157.9199981689453,174.47999572753906,45.790000915527344,106.54000091552734
2023-03-14,152.58999633789062,94.87999725341797,28.760000228881836,160.75999450683594,153.9199981689453,134.6199951171875,260.7900085449219,74.55000305175781,44.869998931884766,139.85000610351562,15.800000190734863,391.7300109863281,158.3699951171875,183.25999450683594,46.03333282470703,106.94000244140625
